COLOR,H,S,V,X,Y,Z,R,G,B,L,A,B,H_Degree,S_Degree,V_Degree,Y,Cb,Cr
Yellow,0.169715712439227,0.560499607342492,0.417826438590682,2.08447027242278,2.34264988142993,1.05089433403906,0.41348777476171,0.417723686513109,0.183503094693493,69.470504668924,-8.96669851072249,27.8546098151839,61.0976564781216,0.560499607342492,0.417826438590682,16.3348102271626,127.897774450193,128.014845876947
Red,0.007863705277403,0.628464937293738,0.659056846815802,2.56470671700198,1.8875481731547,1.38474319297758,0.659180309371312,0.2654060879112,0.245861359774773,65.5086021659845,26.6331342047914,13.81237538851,2.83093389986508,0.628464937293738,0.659056846815802,16.326506239496,127.932919754584,128.174732876485
Orange,0.037394634303567,0.673720561598932,0.596463689379408,2.37029141290259,1.91544942092606,1.10479105401273,0.596686387226559,0.284672123661181,0.194479379265949,65.3225044583449,18.76867512791,21.0288708979777,13.462068349284,0.673720561598932,0.596463689379408,16.3157826860922,127.914199602147,128.143338153194
LightGreen,0.314932781381987,0.541729521644114,0.507502171762728,1.87983363408992,2.60663993159637,1.32973105110261,0.262868507418326,0.507479653625946,0.232537056461557,71.9365450887259,-26.9477994164656,23.4414085981062,113.375801297515,0.541729521644114,0.507502171762728,16.346133414145,127.91549880189,127.912215874979
DarkGreen,0.377690985806187,0.488032441117402,0.497109911137335,1.93606426063985,2.55570612429288,1.8130359212003,0.254456130041356,0.497094687642933,0.319104306019226,71.735511020905,-23.1297978070992,12.031943301874,135.968754890228,0.488032441117402,0.497109911137335,16.3472003082154,127.957763200238,127.906160197839
LightBlue,0.522918226068791,0.622320802402371,0.444097438491056,1.67765338431787,2.05861789392768,2.50730292641948,0.167695783580269,0.406120755306273,0.444167657718768,66.3777334365357,-16.7297042192173,-9.51247775558098,188.250561384765,0.622320802402371,0.444097438491056,16.2912735408876,128.052023570082,127.892590840167
Purple,0.656955834012713,0.192972152897832,0.407499324053039,1.95519767022907,1.88407152602604,2.29846198618477,0.328706417858012,0.333374689184069,0.407697161575564,64.788919293487,2.62519922308338,-7.82345560587453,236.504100244576,0.192972152897832,0.407499324053039,16.2924457611904,128.033204057898,127.992696200609
Magenta,0.969305690891006,0.781728997737923,0.681672593602251,2.42713414499405,1.37953859093191,1.38976580691376,0.681406791164705,0.148670781724668,0.246974335250782,58.900260582765,45.146837356513,4.17872581091802,348.950048720761,0.781728997737923,0.681672593602251,16.2742303362528,127.964118295406,128.227040854791
